region,n_articles,n_cases,long,lat,pop2020,area,density
Bhutan,0,5,90.401895,27.4110619,771608,38394,19.8753
Bolivia,0,493,-64.6853892,-16.70814536,11673021,1098581,10.48
Bonaire,0,0,-68.2624,12.2019,1,1,1
Bosnia and Herzegovina,0,1268,17.76876588,44.17449912,3280819,51209,64.4613
Botswana,0,15,23.7985373,-22.18402031,2351627,582000,3.9582
Brunei,0,137,114.7220255,4.51968241,437479,5765,75.1578
Burkina Faso,0,547,-1.7545684,12.26953681,20903273,272967,74.4463
Burundi,0,5,29.8751201,-3.35939257,11890784,27834,414.2624
Cambodia,0,122,104.9069431,12.72004932,16718965,181035,91.0683
Cameroon,0,1016,12.73964266,5.69110296,26545863,475442,54.4259
Canary Islands,0,0,-16.6291,28.2916,1,1,1
Cape Verde,0,55,-23.95990969,15.95518822,555987,4033,136.3588
Cayman Islands,0,61,-80.91213058,19.42896455,65722,264,246.0152
Central African Republic,0,12,20.46826364,6.56823003,4829767,622984,7.6169
Chad,0,33,18.64493211,15.33333336,16425864,1284000,12.4197
Chagos Archipelago,0,0,2.6,-4.4167,1,1,1
Christmas Island,0,0,105.6904,-10.4475,1,1,1
Cocos Islands,0,0,96.871,-12.1642,1,1,1
Comoros,0,0,43.68238096,-11.87777573,869601,1862,456.9742
Cook Islands,0,0,-159.7872415,-21.21926813,17564,236,74.3559
Costa Rica,0,649,-84.19208786,9.9763424,5094118,51100,98.7781
Croatia,0,1832,16.40413079,45.08047284,4105267,56594,72.9813
Cuba,0,986,-79.01606913,21.62290023,11326616,109884,103.1404
Curacao,0,0,-68.9712225,12.19552443,164093,444,368.0721
Cyprus,0,761,33.00600358,34.91666932,1207359,9251,129.5617
Democratic Republic of the Congo,0,327,23.64395637,-2.87746013,89561403,2344858,37.0131
Djibouti,0,732,42.56067681,11.74872052,988000,23200,41.9638
Dominica,0,16,-61.35773122,15.43947211,71986,751,95.6165
Dominican Republic,0,4335,-70.50569086,18.8943308,10847910,48671,220.6439
El Salvador,0,190,-88.87164456,13.73944008,6486205,21041,306.7132
Equatorial Guinea,0,79,10.34138898,1.70554042,1402985,28051,48.34
Eritrea,0,39,38.84615444,15.36186881,3546421,117600,29.7374
Estonia,0,1512,25.54248555,58.67192416,1326535,45227,29.311
Falkland Islands,0,11,-59.35240055,-51.7448299,3480,12173,0.2774
Faroe Islands,0,184,-6.88096322,62.05386227,48863,1393,34.9447
Fiji,0,17,165.4505548,-17.4285609,896445,18272,48.7058
French Guiana,0,96,-53.2484462,3.92595718,298682,83534,3.4816
French Polynesia,0,55,-144.9048876,-14.72228068,280908,4167,67.0235
French Southern and Antarctic Lands,0,0,69.22673416,-49.24895992,1,1,1
Gabon,0,108,11.78863005,-0.58660329,2225734,267668,8.1167
Gambia,0,9,-15.39601809,13.44965377,2416668,10689,219.6376
Georgia,0,394,43.50778995,42.16855944,3989167,69700,57.3424
Ghana,0,834,-1.21676901,7.95345124,31072940,238533,127.5205
Greenland,0,11,-41.34191035,74.71051369,56770,2166086,0.0262
Grenada,0,13,-61.68219415,12.1172555,112523,344,325.5901
Grenadines,0,0,-61.25,12.6667,1,1,1
Guadeloupe,0,145,-61.551,16.265,400124,1628,245.7346
Guam,0,136,144.7679224,13.4416655,168775,549,304.725
Guatemala,0,235,-90.36482288,15.69404158,17915568,108889,161.4623
Guernsey,0,236,-2.57240158,49.46809855,67052,1,1
Guinea,0,477,-10.94066379,10.43621595,13132795,245857,51.9458
Guinea-Bissau,0,50,-14.94972941,12.04744454,1968001,36125,53.1743
Guyana,0,63,-58.98202596,4.79378052,786552,214969,3.6413
Haiti,0,44,-72.68527364,18.93500961,11402528,27750,405.8766
Heard Island,0,0,73.52052712,-53.08725301,1,1,1
Honduras,0,457,-86.61516846,14.82688225,9904607,112492,86.6383
Indonesia,0,6575,117.2400976,-2.21505018,273523615,1904569,142.0928
Isle of Man,0,291,-4.53873822,54.2241965,85033,572,147.8741
Ivory Coast,0,742,-5.56921598,7.62842868,26378274,322463,79.7504
Jamaica,0,163,-77.31482556,18.15695476,2961167,10991,268.2448
Jersey,0,234,-2.12687655,49.21837488,97857,119.5,818.8870293
Jordan,0,413,36.77137251,31.24579389,10203134,89342,113.0677
Kazakhstan,0,1546,67.29149657,48.15687954,18776707,2724900,6.8081
Kenya,0,262,37.79594437,0.5998746,53771296,580367,90.5875
Kiribati,0,0,-45.6220913,0.86052252,119449,811,145.0136
Kosovo,0,480,20.87249613,42.57078418,1932774,"10,890",177.4815427
Kuwait,0,1915,47.58699362,29.33431677,4270571,17818,236.1142
Kyrgyzstan,0,554,74.54165548,41.46221785,6524195,199951,32.0871
Laos,0,19,103.7377213,18.50217971,7275560,236800,30.2764
Latvia,0,712,24.9123704,56.85085306,1886198,64559,29.5349
Lebanon,0,673,35.88016327,33.92306993,6825445,10452,655.9236
Lesotho,0,0,28.22722773,-29.5800467,2142249,30355,70.0138
Liberia,0,81,-9.32207781,6.45278273,5057681,111369,44.3335
